epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,331.189,1.12604,0.61065,1.06462,0.98132,0.98276,0.97912,0.58156,1.42726,0.58748,1.21187,0.0003566,0.0003566,0.0003566
85,334.834,1.14954,0.62209,1.0398,0.98135,0.98276,0.97671,0.57548,1.42823,0.58176,1.21695,0.0003368,0.0003368,0.0003368
86,338.722,1.07691,0.58827,1.05741,0.98135,0.98276,0.97671,0.57548,1.42823,0.58176,1.21695,0.000317,0.000317,0.000317
87,342.452,1.14493,0.61506,1.06471,0.9985,1,0.995,0.57912,1.42152,0.56907,1.22236,0.0002972,0.0002972,0.0002972
88,346.255,1.15955,0.61924,1.07194,0.9985,1,0.995,0.57912,1.42152,0.56907,1.22236,0.0002774,0.0002774,0.0002774
89,350.197,1.11779,0.63939,1.09404,0.99868,1,0.995,0.57086,1.41859,0.57612,1.23108,0.0002576,0.0002576,0.0002576
90,353.779,1.17932,0.61364,1.07959,0.99868,1,0.995,0.57086,1.41859,0.57612,1.23108,0.0002378,0.0002378,0.0002378
91,358.302,1.0904,0.64777,1.08275,0.99867,1,0.995,0.56041,1.41774,0.58095,1.24103,0.000218,0.000218,0.000218
92,362.141,1.06949,0.62944,1.05246,0.99867,1,0.995,0.56041,1.41774,0.58095,1.24103,0.0001982,0.0001982,0.0001982
93,365.78,1.10538,0.6763,1.07561,0.99863,1,0.995,0.56461,1.41937,0.58217,1.24658,0.0001784,0.0001784,0.0001784
94,369.344,1.08173,0.6114,1.08764,0.99863,1,0.995,0.56461,1.41937,0.58217,1.24658,0.0001586,0.0001586,0.0001586
95,372.902,1.08646,0.62605,1.04277,0.98141,0.98276,0.97947,0.56888,1.43394,0.5846,1.25113,0.0001388,0.0001388,0.0001388
96,376.441,1.0746,0.62911,1.06011,0.98141,0.98276,0.97947,0.56888,1.43394,0.5846,1.25113,0.000119,0.000119,0.000119
97,380.08,1.06904,0.6067,1.0329,0.98144,0.98276,0.97999,0.5643,1.43797,0.59341,1.25338,9.92e-05,9.92e-05,9.92e-05
98,383.638,1.04766,0.61271,1.04065,0.98144,0.98276,0.97999,0.5643,1.43797,0.59341,1.25338,7.94e-05,7.94e-05,7.94e-05
99,387.327,1.08529,0.60156,1.04836,0.98141,0.98276,0.98033,0.56295,1.44654,0.5973,1.25613,5.96e-05,5.96e-05,5.96e-05
100,391.01,1.05908,0.60443,1.03251,0.98141,0.98276,0.98033,0.56295,1.44654,0.5973,1.25613,3.98e-05,3.98e-05,3.98e-05
